mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,replicate,seed,auction_type_code,objective_code
1982.6564150121628,3442.0094718298487,0.7922940117066495,0.6400644369548667,0.9947178733348293,0.9896444444444445,0.09134238369791028,0.0,0.39233893965283034,62.244414749363386,0.011153096961166032,0.9947178732353575,-2.2256924891695407e-06,second,-1,utility_max,1,2,-1,2,6,422006,0,1
1614.1494105777192,2470.9180120427095,0.8352598860651346,0.7461423839942883,0.9897711167333859,0.9813777777777778,0.11108175435692215,0.0,0.5783200463153582,107.4045708691815,0.015007299144423869,0.9897711166344088,-7.374881255967157e-05,second,-1,utility_max,1,2,-1,2,7,422007,0,1
2786.4576594026717,4647.097722272696,0.809256427363333,0.6716359586120781,0.9868804727824511,0.9759666666666665,0.1720219775282762,0.0,0.4668880035639863,46.08865251249745,0.012740179494809238,0.986880472683763,4.8159041904583865e-05,second,-1,utility_max,1,2,-1,2,8,422008,0,1
1633.7457636444174,2354.682809661827,0.8469049866819786,0.8054887811616513,0.9994501918004897,0.9993333333333333,0.07643861613724845,0.0,0.6448669934802435,95.11664428144582,0.008327048621806738,0.9994501917005446,1.01996367316597e-05,second,-1,utility_max,1,2,-1,2,9,422009,0,1
2281.9719318299985,4073.0909066953864,0.7806503777791227,0.6196461990067998,0.9976522165932012,0.9950666666666667,0.08402628694534779,0.0,0.34361947438559565,60.370064196936255,0.008109875277930157,0.997652216493436,-7.057431313839644e-07,second,-1,utility_max,1,2,-1,2,10,422010,0,1
1857.0398886826713,2732.785383189244,0.8426038701286644,0.7845885506779996,0.9972136737262982,0.9952888888888888,0.09808176573882932,0.0,0.618012365163989,95.0998298789932,0.011377853105219727,0.9972136736265769,1.6895796109889183e-05,second,-1,utility_max,1,2,-1,2,11,422011,0,1
2426.358625091052,4624.586448337966,0.7622927871509698,0.5708890158184413,0.9998916901345184,1.0,0.052197656957820956,0.0,0.2615835537889069,88.36753187538761,0.009061557081663561,0.9998916900345293,-1.040724425376529e-09,second,-1,utility_max,1,2,-1,2,12,422012,0,1
2049.223221528557,3392.7898036806514,0.8123520442350801,0.6769202202366897,0.9888604992953007,0.9780555555555555,0.13326808695085246,0.0,0.4763601834003877,61.544440647206784,0.014047659072288592,0.9888604991964147,-1.1420095389801795e-05,second,-1,utility_max,1,2,-1,2,13,422013,0,1
3264.726673712639,4589.189955827705,0.8559021431679382,0.8308413890064955,0.9998850874368503,0.9999777777777779,0.12411587588756105,0.0,0.6912558638897193,120.59091609663301,0.007317079418986573,0.9998850873368619,8.324615945131823e-09,second,-1,utility_max,1,2,-1,2,14,422014,0,1
2197.491008718157,3258.5277447160965,0.8399588640652091,0.7784628224449354,0.9960160121794269,0.9928111111111112,0.11958159141410857,0.0,0.610063435159127,116.05664124637042,0.011705672506349355,0.9960160120798253,1.9164326557496926e-05,second,-1,utility_max,1,2,-1,2,15,422015,0,1
